,,Режиссер,Страна,Слоган,Маркетинг,Качество видео,Аудиодорожки,Директор фильма,Оператор,Премьера в мире,Художник,Сценарий,Премьера в Росcии,Релиз на Blu-ray,Монтаж,Сборы в США,Цифровой релиз,Зрители,Жанр,Релиз на DVD,Рейтинг MPAA,Продюсер,Композитор,Платформа,Время,Возраст,Год производства,Субтитры,Ре-релиз (РФ),Сборы в мире,Бюджет,Сборы в России,Название фильма
30,Null,Давид Черкасский,СССР,—,Null,Null,Null,Борис Калашников,"Владимир Белоруссов, Виктор Груздев",24 марта 1989,Радна Сахалтуев,"Юрий Аликов, Давид Черкасский, Роберт Льюис Стивенсон",Null,Null,Юлия Сребницкая,Null,Null,Null,"мультфильм, приключения, мюзикл, комедия, семейный","22 марта 2011, «Lizard Cinema Trade»",G,Null,Владимир Быстряков,Null,107 мин. / 01:47,6+,1988,Null,Null,Null,Null,Null,"['Остров сокровищ (1988)', '6+']"
31,Null,Крис Коламбус,"Великобритания, США",«Путешествие в твою мечту»,$40 000 000,Null,"Русский, Русский 5.1, Английский",Null,Джон Сил,"4 ноября 2001, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Питер Френсис, ...","Стивен Кловз, Дж.К. Роулинг","21 марта 2002, «Каро-Премьер»","23 декабря 2008, «Юниверсал Пикчерс Рус»",Ричард Фрэнсис-Брюс,$317 575 550,Null,55.7 млн,"фэнтези, приключения, семейный","28 августа 2002, «Premier Digital»",PG,"Тодд Арноу, Майкл Барнатан, Крис Коламбус, ...",Джон Уильямс,Null,152 мин. / 02:32,12+,2001,Русские,Null,+ $657 179 821 = $974 755 371,$125 000 000,$5 474 384,"['Гарри Поттер и философский камень (2001)', ""Harry Potter and the Sorcerer's Stone12+""]"
32,Null,Стивен Спилберг,"США, Канада",«Правдивая история о реальном преступнике»,$35 000 000,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Януш Камински,"16 декабря 2002, ...","Джаннин Оппуолл, Сара Ноулз, Мэри Зофрис, ...","Джефф Натансон, Фрэнк Эбегнейл мл., Стэн Реддинг","13 февраля 2003, «Ист-Вест»",Null,Майкл Кан,$164 615 351,Null,27.9 млн,"криминал, биография, комедия","29 июля 2004, «Premier Digital»",PG-13,"Уолтер Ф. Паркс, Стивен Спилберг, Барри Кемп, ...",Джон Уильямс,Null,141 мин. / 02:21,16+,2002,Русские,Null,+ $187 498 961 = $352 114 312,$52 000 000,$2 427 426,"['Поймай меня, если сможешь (2002)', 'Catch Me If You Can16+']"
33,Null,Леонид Быков,СССР,—,Null,Null,Null,"Николай Злочевский, Илья Фидман",Владимир Войтенко,"12 августа 1974, ...","Георгий Прокопец, Л. Коротенко","Леонид Быков, Евгений Оноприенко, Александр Сацкий",Null,"28 апреля 2011, «Новый Диск»",М. Зоровой,Null,Null,44.3 млн,"военный, драма, комедия","19 февраля 2009, «Мьюзик-Трейд»",Null,Null,Виктор Шевченко,Null,87 мин. / 01:27,12+,1973,Null,Null,Null,$500 000,Null,"['В бой идут одни «старики» (1973)', '12+']"
34,Null,Мэл Гибсон,"Австралия, США",«Основано на реальной истории»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Саймон Дагган,"4 сентября 2016, ...","Барри Робисон, Джасинта Леонг, Марк Робинс, ...","Роберт Шенккан, Эндрю Найт","17 ноября 2016, «WDSSPR»",Null,Джон Гилберт,$67 209 615,"24 февраля 2017, «Уолт Дисней Компани СНГ»",Null,"биография, военный, драма, история",Null,R,"Майкл Бэссик, Лоуренс Бендер, Терри Бенедикт, ...",Руперт Грегсон-Уильямс,Null,139 мин. / 02:19,18+,2016,"Русские, Английские",Null,+ $113 354 021 = $180 563 636,$40 000 000,$1 287 655,"['По соображениям совести (2016)', 'Hacksaw Ridge18+']"
35,Null,Гай Ричи,"Великобритания, США",«Criminal. Class»,Null,Null,"Русский, Русский 5.1, Русский (Кубик в Кубе 18+), Русский 5.1 (Кубик в Кубе 18+), Английский, Английский 5.1",Null,Алан Стюарт,"3 декабря 2019, ...","Джемма Джексон, Рэйчел Олтон, Оливер Кэрролл, ...","Гай Ричи, Айван Эткинсон, Марн Дэвис, ...","13 февраля 2020, «Вольга»",Null,"Джеймс Херберт, Пол Мачлисс",$36 471 795,"31 марта 2020, «Вольга»",Null,"криминал, комедия, боевик",Null,R,"Мэттью Андерсон, Айван Эткинсон, Билл Блок, ...",Кристофер Бенстед,Null,113 мин. / 01:53,18+,2019,Русские,Null,+ $78 700 000 = $115 171 795,$22 000 000,$18 003 343,"['Джентльмены (2019)', 'The Gentlemen18+']"
36,Null,Джеймс Кэмерон,"США, Мексика",«Ничто на Земле не сможет разлучить их»,$40 000 000,Null,"Русский, Английский",Null,Рассел Карпентер,"1 ноября 1997, ...","Питер Ламонт, Мартин Лэйн, Чарльз Дуайт Ли, ...",Джеймс Кэмерон,"20 февраля 1998, «Гемини»","13 сентября 2012, «Двадцатый Век Фокс СНГ»","Конрад Бафф IV, Джеймс Кэмерон, Ричард А. Харрис",$659 363 944,Null,135.4 млн,"мелодрама, история, триллер, драма","13 декабря 2005, «Гемини-Фильм»",PG-13,"Джеймс Кэмерон, Памела Исли, Эл Гиддингс, ...",Джеймс Хорнер,Null,194 мин. / 03:14,12+,1997,"Русские, Английские","5 апреля 2012, «Двадцатый Век Фокс СНГ»",+ $1 542 283 320 = $2 201 647 264,$200 000 000,$18 400 000,"['Титаник (1997)', 'Titanic12+']"
37,Null,Альфонсо Куарон,"Великобритания, США",«Всё изменится»,$50 000 000,Null,"Русский, Русский 5.1, Английский",Null,Майкл Серезин,"23 мая 2004, ...","Стюарт Крэйг, Эндрю Эклэнд-Сноу, Алан Гилмор, ...","Стивен Кловз, Дж.К. Роулинг","3 июня 2004, «Каро-Премьер»","23 декабря 2008, «Юниверсал Пикчерс Рус»",Стивен Вайсберг,$249 541 069,Null,40.2 млн,"фэнтези, приключения, семейный","16 сентября 2004, «Premier Digital»",PG,"Крис Коламбус, Дэвид Хейман, Марк Рэдклифф, ...",Джон Уильямс,Null,142 мин. / 02:22,12+,2004,Русские,Null,+ $546 093 000 = $795 634 069,$130 000 000,$7 800 000,"['Гарри Поттер и узник Азкабана (2004)', 'Harry Potter and the Prisoner of Azkaban12+']"
38,Null,Гай Ричи,Великобритания,«They lost half a million at cards but they've still got a few tricks up their sleeve»,Null,Null,Null,Null,Тим Морис-Джонс,"23 августа 1998, ...","Иэн Эндрюс, Ив Мавракис, Стефани Колли, ...",Гай Ричи,"6 мая 1999, «Парадиз»",Null,Найвен Хоуи,$3 753 929,Null,2.9 млн,"боевик, комедия, криминал","1 сентября 1999, «Твистер»",R,"Мэттью Вон, Стефен Маркс, Джорджия Мастерс, ...","Дэвид А. Хьюз, Джон Мерфи",Null,107 мин. / 01:47,18+,1998,Null,"25 июля 2013, «Другое кино»",Null,£ 960 000,Null,"['Карты, деньги, два ствола (1998)', 'Lock, Stock and Two Smoking Barrels18+']"
39,Null,Леонид Гайдай,СССР,—,Null,Null,Русский,Петр Феллер,Константин Бровин,"23 июля 1965, ...","Артур Бергер, К. Савицкий","Леонид Гайдай, Яков Костюковский, Морис Слободской",Null,"21 мая 2013, «Lizard Cinema Trade»",Валентина Янковская,Null,Null,69.6 млн,"комедия, мелодрама, криминал","11 января 2011, «Парадиз»",Null,Null,Александр Зацепин,Null,95 мин. / 01:35,6+,1965,Нет,Null,Null,Null,Null,"['Операция «Ы» и другие приключения Шурика (1965)', '6+']"
40,Null,Тейт Тейлор,США,«Большие перемены начинаются с малого»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Стивен Голдблатт,"9 августа 2011, ...","Марк Рикер, Курт Бич, Шэрен Дэвис, ...","Тейт Тейлор, Кэтрин Стокетт","16 февраля 2012, «WDSSPR»","27 марта 2012, «Уолт Дисней Компани СНГ»",Хьюз Уинборн,$169 708 112,Null,505.9 тыс,драма,"27 марта 2012, «Уолт Дисней Компани СНГ»",PG-13,"Майкл Барнатан, Крис Коламбус, Брунсон Грин, ...","Томас Ньюман, Stacy Wilde",Null,146 мин. / 02:26,12+,2011,"Русские, Английские",Null,+ $46 931 000 = $216 639 112,$25 000 000,$63 000,"['Прислуга (2011)', 'The Help12+']"
41,Null,Алексей Балабанов,Россия,—,Null,Null,Русский,Null,Сергей Астахов,"17 мая 1997, ...","Владимир Карташов, Надежда Васильева",Алексей Балабанов,"12 декабря 1997, «СТВ», «Кармен-Премьер»",Null,Марина Липартия,Null,Null,296.1 тыс,"драма, криминал, боевик","30 августа 2007, «Союз-Видео»",Null,Сергей Сельянов,Вячеслав Бутусов,Null,100 мин. / 01:40,18+,1997,Нет,"24 марта 2022, «Наше Кино»",$1 362 281,Null,Null,"['Брат (1997)', '18+']"
42,Null,Хаяо Миядзаки,Япония,—,Null,Null,"Русский, Японский",Null,Ацуси Окуи,"5 сентября 2004, ...","Ёдзи Такэсигэ, Нобору Ёсида","Хаяо Миядзаки, Диана Уинн Джонс","25 августа 2005, «Централ Партнершип»",Null,Такэси Сэяма,$5 576 743,Null,15.5 млн,"аниме, мультфильм, фэнтези, мелодрама, приключения","22 декабря 2005, «CP-Digital»",PG,"Тосио Судзуки, Томохико Исии, Хаяо Миядзаки",Дзё Хисаиси,Null,119 мин. / 01:59,6+,2004,"Русские, Английские","20 января 2022, «Пионер»",+ $230 637 703 = $236 214 446,$24 000 000,$82 500,"['Ходячий замок (2004)', 'Howl no Ugoku Shiro6+']"
43,Null,"Серхио Паблос, Карлос Мартинес Лопес","Испания, Великобритания, США",«Discover the friendship that launched a legend»,Null,Null,Null,Null,Null,"8 ноября 2019, ...","Шимон Бернацки, Марчин Якубовски","Джим Махони, Зэк Льюис, Серхио Паблос",Null,Null,Пабло Реверт,Null,"15 ноября 2019, «Netflix»",Null,"мультфильм, семейный, комедия, приключения",Null,PG,"Густаво Феррада, Мерседес Гамеро, Микель Лехарса, ...",Альфонсо Гонсалес Агиляр,Netflix,96 мин. / 01:36,6+,2019,Null,Null,Null,$40 000 000,Null,"['Клаус (2019)', 'Klaus6+']"
44,Null,Владимир Бортко,СССР,—,Null,Null,Русский,Георгий Мауткин,Юрий Шайгарданов,"19 ноября 1988, ...",Владимир Светозаров,"Наталия Бортко, Михаил Булгаков",Null,"25 октября 2011, «Парадиз»",Леда Семёнова,Null,Null,Null,"фантастика, драма, комедия","11 января 2011, «Парадиз»",PG,Null,Владимир Дашкевич,Null,136 мин. / 02:16,12+,1988,Нет,Null,Null,Null,Null,"['Собачье сердце (ТВ, 1988)', '12+']"
45,Null,Юрий Чулюкин,СССР,—,Null,Null,Русский,Л. Стулова,Тимофей Лебешев,"7 марта 1962, ...","Ирина Шретер, Лидия Наумова, Александр Самулекин",Борис Бедный,Null,"8 мая 2012, «Парадиз»",Мария Кузьмина,Null,Null,34.8 млн,"мелодрама, комедия","11 января 2011, «Парадиз»",Null,Null,Александра Пахмутова,Null,92 мин. / 01:32,0+,1962,Нет,Null,Null,Null,Null,"['Девчата (1962)', '0+']"
46,Null,Джеймс Кэмерон,США,«Same Make. Same Model. New Mission»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Адам Гринберг,"1 июля 1991, ...","Джозеф С. Немец III, Джозеф П. Лаки, Марлен Стюарт, ...","Джеймс Кэмерон, Уильям Уишер мл.","1994, «Аргус-СВ»",Null,"Конрад Бафф IV, Доди Дорн, Марк Голдблатт, ...",$204 843 345,Null,48.7 млн,"фантастика, боевик, триллер","1 сентября 2009, «Юниверсал Пикчерс Рус»",R,"Стефани Остин, Джеймс Кэмерон, Гейл Энн Хёрд, ...",Брэд Фидель,Null,137 мин. / 02:17,18+,1991,"Русские, Английские","24 августа 2017, «Вольга»",+ $312 106 698 = $516 950 043,$102 000 000,$705 164,"['Терминатор 2: Судный день (1991)', 'Terminator 2: Judgment Day18+']"
47,Null,Квентин Тарантино,США,«Они забрали его свободу. Он заберёт у них всё»,Null,Null,"Русский, Русский 5.1, Английский, Английский 5.1",Null,Роберт Ричардсон,"11 декабря 2012, ...","Дж. Майкл Рива, Пейдж Бакнер, Дэвид Ф. Классен, ...",Квентин Тарантино,"17 января 2013, «WDSSPR»","28 мая 2013, «Columbia/Sony»",Фред Раскин,$162 805 434,Null,4.4 млн,"вестерн, боевик, драма, комедия","28 мая 2013, «Columbia/Sony»",R,"Реджинальд Хадлин, Пилар Савон, Стейси Шер, ...",—,Null,165 мин. / 02:45,18+,2012,"Русские, Английские",Null,+ $262 562 804 = $425 368 238,$100 000 000,$15 990 907,"['Джанго освобожденный (2012)', 'Django Unchained18+']"
48,Null,Роберто Бениньи,Италия,"«An unforgettable fable that proves love, family and imagination conquer all»",Null,Null,Null,Null,Тонино Делли Колли,"20 декабря 1997, ...",Данило Донати,"Винченцо Черами, Роберто Бениньи","9 апреля 1999, «West»",Null,Симона Паджи,$57 247 384,Null,11.5 млн,"военный, комедия, драма, мелодрама","27 июня 2000, «West Video»",PG-13,"Джанлуиджи Браски, Эльда Ферри, Марио Котоне, ...",Никола Пьовани,Null,116 мин. / 01:56,12+,1997,Null,Null,+ $171 600 000 = $228 847 384,$20 000 000,$230 000,"['Жизнь прекрасна (1997)', 'La vita è bella12+']"
49,Null,Игорь Масленников,СССР,—,Null,Null,Русский,Григорий Прусовский,Юрий Векслер,22 марта 1980,Марк Каплан,"Юлий Дунский, Валерий Фрид, Артур Конан Дойл",Null,Null,Null,Null,Null,Null,"криминал, детектив","2 февраля 2010, «Lizard Cinema Trade»",Null,Null,Владимир Дашкевич,Null,68 мин. / 01:08,12+,1979,Нет,Null,Null,Null,Null,"['Шерлок Холмс и доктор Ватсон: Знакомство (ТВ, 1979)', '12+']"
